Date,Open,High,Low,Close,Adj Close,Volume
2010-01-01,312.304413,313.579620,261.823608,263.980530,263.980530,178868943
2010-02-01,266.301849,272.727753,259.029083,262.416412,262.416412,104458675
2010-03-01,263.611908,293.041595,262.884644,282.501129,282.501129,168177416
2010-04-01,284.608215,297.803772,259.542175,261.868439,261.868439,146669702
2010-05-01,262.266968,265.464966,229.141129,241.908264,241.908264,163733825
2010-06-01,239.317978,253.674164,221.529648,221.644226,221.644226,120175163
2010-07-01,221.813583,247.821106,216.005356,241.519730,241.519730,139139580
2010-08-01,243.582001,253.350388,222.989182,224.169754,224.169754,106106631
2010-09-01,226.640503,267.422638,225.405121,261.913300,261.913300,119849547
2010-10-01,264.010437,311.203522,258.456238,305.704132,305.704132,159290632
2010-11-01,306.715363,314.247131,275.621887,276.817413,276.817413,117321911
2010-12-01,280.448822,302.366669,280.149933,295.875977,295.875977,84887390
2011-01-01,297.126312,320.279510,296.663025,299.059052,299.059052,120418473
2011-02-01,301.116333,314.411499,299.552216,305.554718,305.554718,84051871
2011-03-01,307.736542,308.453827,274.610687,292.284454,292.284454,120728830
2011-04-01,293.280701,296.483704,258.530975,271.034088,271.034088,141009966
2011-05-01,271.831116,271.846039,255.741425,263.522247,263.522247,90995598
2011-06-01,263.034088,265.604462,235.626816,252.244522,252.244522,118693431
2011-07-01,252.423859,312.578369,252.244522,300.717834,300.717834,162718633
2011-08-01,304.468781,306.600800,244.513504,269.469971,269.469971,214351641
2011-09-01,269.365356,278.217163,254.296829,256.558350,256.558350,117698917
2011-10-01,253.973053,300.224670,239.402664,295.213470,295.213470,155009844
2011-11-01,288.966888,307.995544,279.616913,298.575867,298.575867,121053042
2011-12-01,298.879730,322.172424,298.381592,321.744019,321.744019,110507664
2012-01-01,325.250885,333.873566,281.220917,288.971863,288.971863,147837262
2012-02-01,291.377838,311.631927,288.488678,307.970642,307.970642,95084269
2012-03-01,309.968170,328.065338,295.811218,319.422729,319.422729,95015210
2012-04-01,319.188599,325.350494,293.998016,301.295685,301.295685,118196775
2012-05-01,300.767639,317.734070,288.418945,289.345459,289.345459,117786446
2012-06-01,284.827393,292.847351,277.220917,288.951935,288.951935,93357219
2012-07-01,289.823669,320.100189,279.995514,315.303162,315.303162,102957667
2012-08-01,317.460083,343.208557,310.541016,341.265839,341.265839,94479411
2012-09-01,340.996857,381.016846,335.492493,375.841248,375.841248,120806320
2012-10-01,378.107758,385.744141,333.599579,338.879791,338.879791,144135840
2012-11-01,338.481293,348.304474,316.812500,347.881042,347.881042,93708329
2012-12-01,349.808838,363.188690,339.890991,352.369232,352.369232,83703570
2013-01-01,358.366760,379.054199,346.461365,376.434021,376.434021,105203254
2013-02-01,377.684357,402.974548,377.634521,399.104065,399.104065,93028192
2013-03-01,397.410400,420.424133,395.168823,395.612152,395.612152,85416766
2013-04-01,396.020630,412.274689,379.208618,410.745422,410.745422,107505854
2013-05-01,410.092865,458.581116,406.655762,433.983337,433.983337,99205057
2013-06-01,434.869995,453.719360,422.028137,438.541229,438.541229,97525384
2013-07-01,441.569885,462.267303,436.170135,442.217468,442.217468,102875163
2013-08-01,445.828918,453.156464,421.201233,421.868744,421.868744,67225234
2013-09-01,425.584808,451.303406,425.380554,436.319580,436.319580,66495311
2013-10-01,438.481476,518.815369,419.916046,513.365784,513.365784,110862991
2013-11-01,513.968506,532.005920,500.623535,527.816589,527.816589,52710032
2013-12-01,529.769287,558.406982,522.551331,558.262512,558.262512,67940103
2014-01-01,555.647278,591.054565,539.114258,588.279968,588.279968,109432047
2014-02-01,587.398315,612.145508,561.903870,605.555237,605.555237,81396556
2014-03-01,601.121826,611.204041,551.406128,555.445007,555.445007,71598099
2014-04-01,557.180237,603.174011,501.423340,525.218018,525.218018,67355619
2014-05-01,525.666809,566.285278,501.921967,558.357056,558.357056,36627986
2014-06-01,559.164795,580.855286,537.274902,573.704895,573.704895,38002450
2014-07-01,576.736572,598.008179,563.463013,570.034973,570.034973,34610862
2014-08-01,568.838257,585.731873,558.466736,570.034973,570.034973,27659130
2014-09-01,570.284302,594.846863,566.654236,575.779175,575.779175,33517269
2014-10-01,574.432922,579.409241,506.708832,557.549255,557.549255,52163424
2014-11-01,553.979065,556.372498,528.628662,540.346497,540.346497,28520691
2014-12-01,537.424500,539.927612,487.661133,524.958740,524.958740,45864878
2015-01-01,527.561584,540.685547,486.225067,533.056519,533.056519,50228122
2015-02-01,530.274109,563.163818,517.130249,556.871094,556.871094,32595448
2015-03-01,558.995300,576.327698,542.729919,546.499573,546.499573,38648620
2015-04-01,547.097961,569.576233,519.583496,537.340027,537.340027,42377628
2015-05-01,538.429993,544.190002,521.085022,532.109985,532.109985,31865900
2015-06-01,536.789978,543.739990,520.500000,520.510010,520.510010,34320500
2015-07-01,524.729980,678.640015,515.179993,625.609985,625.609985,63319000
2015-08-01,625.340027,674.900024,565.049988,618.250000,618.250000,53717400
2015-09-01,602.359985,650.900024,589.380005,608.419983,608.419983,47955000
2015-10-01,608.369995,730.000000,599.849976,710.809998,710.809998,49438600
2015-11-01,711.059998,762.708008,705.849976,742.599976,742.599976,33934800
2015-12-01,747.109985,779.979980,724.169983,758.880005,758.880005,43100300
